#нижні_хребти #нижні_хребти_персонажі

⸻

## ІМ’Я:
Барон Домінік Духовний #барон_духовний

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Замок Барона (див. #замок_барона #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Люди Духовного — тіньовий адміністративний апарат, який підкоряється тільки барону (див. #люди_духовного)

	### РАСА:
	Людина

	### КЛАС:
	Маніпулятор / бюрократичний алхімік

	### ОПИС:
	Офіційний правитель Нижніх Хребтів. Освічений, елегантний, розмовляє ніжно — навіть коли натякає на страти. Він керує містом через “аркуші рішень”, але майже нічого не підписує сам. Його замок — це лабіринт із делегацій, нарад і заборонених артефактів. Має таємний тунель до казарм, яким до нього приходить Крістоф.

	### ХАРАКТЕР:
	Розважливий, лукавий, контролюючий. Ніколи не кричить, бо все вже домовлено. Ненавидить фанатизм і хоче зменшити вплив храмів у місті. Любить троянди і шепіт.

	### ДРУЗІ / СОЮЗНИКИ:
	- Крістоф — командир варти, з яким Барона пов’язують не лише політичні стосунки. (див. #крістоф)
	- Кам’яні Очі — власниця “Камінь з Почки”, підтримує політику Барона (див. #кам'яні_очі)
	- Хлібний дар - робить для Барона таємні справи за те, що не лізе у його бізнес. (див. #хлібний_дар)
	- Ісідзукурі — можливий інструмент усунення релігій, але надто неконтрольований. Барон стежить і, можливо, спробує використати його (див. #ісідзукурі_сасакі)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Хесус і Абед — керівники храмів, які перетягують вплив на себе (див. #хесус #абед #культ_тора #культ_зевса)
	- Культ рівноваги - думають, що камінь у Барона і напають вночі на його палац. (див. #нижні_хребти_околиці #культ_рівноваги)
	- Медовий - вважає, що міста - це хуйня, а ліс - заєбісь. (див. #медовий)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Хоче усунути храми, але без скандалу. Потрібен агент для “внутрішнього ослаблення” їх репутації. Наприклад герой - як новенький в місті. (див. #хесус #абед #культ_тора #культ_зевса)
	- Підозрює, що Крістоф йому зраджує. (див. #крістоф)
	- Просить гравця прослідкувати, щоб Віккан більше не робив експерименти на кладовищі. (див.  #віккан #нижні_хребти_кладовище)

	### ТАЄМНИЦЯ:
	У Барона і Крістофа любовні стосунки. Через цю таємницю було вбито культиста Зевса. (див. #культ_зевса)

⸻

## ІМ’Я:
Крістоф #крістоф

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Казарми / Брама / Замок Барона (див. #нижні_хребти_казарми #нижні_хребти_брама #замок_барона #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Люди Духовного — охоронна і силова гілка адміністрації Барона (див. #люди_духовного)

	### РАСА:
	Людина

	### КЛАС:
	Вартовий / мечник рун

	### ОПИС:
	Лисий, вусатий красень з рунічним мечем. Командир варти Нижніх Хребтів, має абсолютний контроль над брамою, вартовими і нічними рейдами. Часто мовчить, але коли говорить — краще слухати. Має таємний тунель до барона в замку. Відомий тим, що “впорядковує” тіла тих, хто зникає.

	### ХАРАКТЕР:
	Стриманий, точний, небезпечний. Вірний… але кому саме? Може усміхнутись, коли відрубує руку. Не терпить безладу й недбалості. Працює як механізм.

	### ДРУЗІ / СОЮЗНИКИ:
	- Барон Духовний — головнокомандувач і не тільки в ліжку (див. #барон_духовний)
	- Хлібний Дар — мовчазне прикриття одного з убивств (див. #хлібний_дар)
	- Сивочолий Криголам - разом п'ють і травлять солдатські байки. (див. #сивочолий_криголам)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Абед — знав про стосунки з Бароном, його жерця вбито (див. #абед #культ_зевса)
	- Культ Рівноваги — бачить у Крістофі “розпусника, що стоїть на шляху рівноваги” (див. #культ_рівноваги)
	- Ісідзукурі - знає таємницю Крістофа і Барона. (див. #ісідзукурі_сасакі)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Гравець стає свідком нічної розправи. Крістоф підозрює — і пропонує “альтернативу”: співпрацю або… зникнення
	- Хоче перевірити Хлібного Дара. Пропонує гравцеві шпигунство під прикриттям (див. #хлібний_дар)
	- Підозрює, що за ним слідкують агенти храмів. Шукає того, хто зможе зачистити “розмовні хвости” (див. #хесус #абед #культ_тора #культ_зевса)
